Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
-1e-08,10,69,10415.61,10897.75,,,-4.906653440000001e-06,8.525344000000001e-08,-0.04710865172563108,2020-09-21 16:00:00+00:00,2020-10-01 12:00:00+00:00,9 days 20:00:00,bear_core
-1.34359889,10,120,10415.61,11261.712730889614,11261.712730889614,,-1148.4729407530117,11.650250703758022,-0.08206659619378696,2020-09-21 16:00:00+00:00,2020-10-10 00:00:00+00:00,18 days 08:00:00,bear_core
3.36727468,181,355,11737.92,18071.58,,,21287.022239899423,40.150709829384006,0.5385738018320113,2020-10-20 04:00:00+00:00,2020-11-18 04:00:00+00:00,29 days 00:00:00,core_long
0.66831533,355,402,18071.58,17173.12303411065,17173.12303411065,19868.493931778703,-609.8743937847378,9.421830135597466,-0.050496683029541155,2020-11-18 04:00:00+00:00,2020-11-26 00:00:00+00:00,7 days 20:00:00,pullback_struct_long
0.56509644,421,457,17870.01,18828.61,16812.828106168603,19984.34378766279,533.4061435780357,8.29530380596512,0.052821489859267136,2020-11-29 04:00:00+00:00,2020-12-05 04:00:00+00:00,6 days 00:00:00,pullback_struct_long
1e-08,457,477,18828.61,18765.93,,,-7.771781599999921e-07,1.5037816e-07,-0.004127644897844285,2020-12-05 04:00:00+00:00,2020-12-08 12:00:00+00:00,3 days 08:00:00,pullback_struct_long
0.7707038900000001,457,478,18828.61,18805.0,18050.0,20943.87643793061,-29.798066691595803,11.601747848697162,-0.0020534412258790854,2020-12-05 04:00:00+00:00,2020-12-08 16:00:00+00:00,3 days 12:00:00,pullback_struct_long
-1e-08,478,481,18805.0,18289.7,,,5.0046212000000095e-06,1.483788e-07,0.026613247540547745,2020-12-08 16:00:00+00:00,2020-12-09 04:00:00+00:00,0 days 12:00:00,bear_core
-0.89326244,478,493,18805.0,17986.67,20137.290489826384,,717.8376057588531,13.145846766349921,0.042734024567934195,2020-12-08 16:00:00+00:00,2020-12-11 04:00:00+00:00,2 days 12:00:00,bear_core
2.68425094,493,583,17986.67,24930.399999999998,,,18592.633705410386,46.08007419581832,0.38509424879646986,2020-12-11 04:00:00+00:00,2020-12-26 04:00:00+00:00,15 days 00:00:00,core_long
0.45424616,583,590,24930.399999999998,27998.508158035336,23398.715920982333,27998.508158035336,1384.0592479387133,9.61710131351209,0.12221771791756737,2020-12-26 04:00:00+00:00,2020-12-27 08:00:00+00:00,1 days 04:00:00,pullback_struct_long
1e-08,601,682,26478.0,31618.490000000005,,,5.117251404000005e-05,2.3238596000000001e-07,0.19326427237706792,2020-12-29 04:00:00+00:00,2021-01-11 16:00:00+00:00,13 days 12:00:00,core_long
2.1250932000000002,601,697,26478.0,37107.37,,,22534.35197232142,54.04993496259361,0.4004809975073648,2020-12-29 04:00:00+00:00,2021-01-14 04:00:00+00:00,16 days 00:00:00,core_long
1e-08,697,716,37107.37,34787.76,,,-2.3483680520000047e-05,2.8758052000000007e-07,-0.06328575838169088,2021-01-14 04:00:00+00:00,2021-01-17 08:00:00+00:00,3 days 04:00:00,core_long
1.75917491,697,721,37107.37,35148.25,,,-3497.278859203402,50.84410952419769,-0.05357486256773257,2021-01-14 04:00:00+00:00,2021-01-18 04:00:00+00:00,4 days 00:00:00,core_long
1e-08,721,741,35148.25,32247.14,,,-2.9280681560000045e-05,2.6958156000000006e-07,-0.08330622878806214,2021-01-18 04:00:00+00:00,2021-01-21 12:00:00+00:00,3 days 08:00:00,core_long
1.81744474,721,745,35148.25,30944.039999999997,,,-7688.966984281428,48.047633926021845,-0.12036579107067934,2021-01-18 04:00:00+00:00,2021-01-22 04:00:00+00:00,4 days 00:00:00,core_long
1e-08,745,777,30944.039999999997,30647.15,,,-3.2152647599999843e-06,2.4636476000000005e-07,-0.010390578476501416,2021-01-22 04:00:00+00:00,2021-01-27 12:00:00+00:00,5 days 08:00:00,core_long
1.9650196,745,781,30944.039999999997,31424.24,,,894.5804548726926,49.0219570473152,0.014712128345232313,2021-01-22 04:00:00+00:00,2021-01-28 04:00:00+00:00,6 days 00:00:00,core_long
1e-08,781,802,31424.24,32878.84,,,1.4288787679999938e-05,2.5721232000000006e-07,0.04547059111055651,2021-01-28 04:00:00+00:00,2021-01-31 16:00:00+00:00,3 days 12:00:00,core_long
1.94637434,781,805,31424.24,33600.37,,,4184.9386995552,50.62489294900297,0.06842234389757727,2021-01-28 04:00:00+00:00,2021-02-01 04:00:00+00:00,4 days 00:00:00,core_long
1e-08,805,938,33600.37,49680.0,,,0.00016046317851999998,3.3312148000000003e-07,0.4775637248042209,2021-02-01 04:00:00+00:00,2021-02-23 08:00:00+00:00,22 days 04:00:00,core_long
1.87011751,805,955,33600.37,47346.45,,,25646.232875676465,60.55202618432729,0.40814137677650547,2021-02-01 04:00:00+00:00,2021-02-26 04:00:00+00:00,25 days 00:00:00,core_long
1e-08,955,1006,47346.45,47282.01,,,-1.0229138399999765e-06,3.7851384e-07,-0.0021604868791640754,2021-02-26 04:00:00+00:00,2021-03-06 16:00:00+00:00,8 days 12:00:00,core_long
1.54374893,955,1009,47346.45,49582.55,,,3392.123366358618,59.853616014388,0.04640957030569361,2021-02-26 04:00:00+00:00,2021-03-07 04:00:00+00:00,9 days 00:00:00,core_long
1e-08,1009,1062,49582.55,55646.61000000001,,,6.021968336000003e-05,4.209166400000001e-07,0.121453380997952,2021-03-07 04:00:00+00:00,2021-03-16 00:00:00+00:00,8 days 20:00:00,core_long
1.50148265,1009,1063,49582.55,54330.15,,,7066.029782674132,62.409246465862005,0.09491312810656155,2021-03-07 04:00:00+00:00,2021-03-16 04:00:00+00:00,9 days 00:00:00,core_long
1e-08,1063,1103,54330.15,55571.42,,,1.197309371999997e-05,4.3960628e-07,0.02203765997332958,2021-03-16 04:00:00+00:00,2021-03-22 20:00:00+00:00,6 days 16:00:00,core_long
1.42227879,1063,1105,54330.15,54715.0,,,485.3269507325587,62.0370415989474,0.006280710434261711,2021-03-16 04:00:00+00:00,2021-03-23 04:00:00+00:00,7 days 00:00:00,core_long
1e-08,1105,1120,54715.0,51024.33,,,-3.7329657319999986e-05,4.2295732000000004e-07,-0.06822563706479025,2021-03-23 04:00:00+00:00,2021-03-25 16:00:00+00:00,2 days 12:00:00,core_long
1.4158215,1105,1123,54715.0,52421.61,,,-3307.70539623505,60.674526350046,-0.042698430850772226,2021-03-23 04:00:00+00:00,2021-03-26 04:00:00+00:00,3 days 00:00:00,core_long
1e-08,1123,1197,52421.61,56374.04,,,3.908911739999998e-05,4.3518260000000007e-07,0.07456680059998143,2021-03-26 04:00:00+00:00,2021-04-07 12:00:00+00:00,12 days 08:00:00,core_long
1.4525330300000001,1123,1201,52421.61,56590.01000000001,,,5991.401490770485,63.33719148152345,0.0786850184876048,2021-03-26 04:00:00+00:00,2021-04-08 04:00:00+00:00,13 days 00:00:00,core_long
0.55890602,1201,1232,56590.01000000001,62183.33784213661,55536.07,62183.33784213661,3099.591347153947,26.553255649809664,0.09799995622901898,2021-04-08 04:00:00+00:00,2021-04-13 08:00:00+00:00,5 days 04:00:00,pullback_struct_long
1.38787258,1201,1237,56590.01000000001,63857.86,,,10019.983212116025,66.86651843696184,0.1275785399578476,2021-04-08 04:00:00+00:00,2021-04-14 04:00:00+00:00,6 days 00:00:00,core_long
0.38075725,1237,1250,63857.86,61107.250421660785,61107.250421660785,69359.10915667843,-1066.3470875881374,19.03254871603916,-0.04385670961269098,2021-04-14 04:00:00+00:00,2021-04-16 08:00:00+00:00,2 days 04:00:00,pullback_struct_long
1e-08,1255,1261,62456.49,54849.469999999994,,,-7.653942383999998e-05,4.6922384e-07,-0.12254839143217941,2021-04-17 04:00:00+00:00,2021-04-18 04:00:00+00:00,1 days 00:00:00,core_long
1.33467452,1255,1279,62456.49,55205.64,,,-9740.341002093963,62.81625875197105,-0.11684798252351343,2021-04-17 04:00:00+00:00,2021-04-21 04:00:00+00:00,4 days 00:00:00,core_long
1e-08,1279,1292,55205.64,48000.81,,,-7.246112580000001e-05,4.1282580000000004e-07,-0.1312567444195919,2021-04-21 04:00:00+00:00,2021-04-23 08:00:00+00:00,2 days 04:00:00,core_long
1.43942733,1279,1303,55205.64,49680.01000000001,,,-8014.132945921817,60.390108453925805,-0.10085172927983432,2021-04-21 04:00:00+00:00,2021-04-25 04:00:00+00:00,4 days 00:00:00,core_long
1.53502659,1303,1334,49680.01000000001,54354.01,,,7110.83628687416,63.877994785836734,0.09324447382357601,2021-04-25 04:00:00+00:00,2021-04-30 08:00:00+00:00,5 days 04:00:00,core_long
1e-08,1334,1360,54354.01,53876.71,,,-5.2059228800000165e-06,4.3292288000000006e-07,-0.00957780829786062,2021-04-30 08:00:00+00:00,2021-05-04 16:00:00+00:00,4 days 08:00:00,core_add_long
0.81862634,1334,1363,54354.01,54874.98999999999,,,390.720856016447,35.767094596744,0.008781107410474222,2021-04-30 08:00:00+00:00,2021-05-05 04:00:00+00:00,4 days 20:00:00,core_add_long
0.32459126,1363,1381,54874.98999999999,58172.21000000001,53043.62000000001,63271.09441414116,1055.5711410622146,14.6776532349888,0.05926199020719656,2021-05-05 04:00:00+00:00,2021-05-08 04:00:00+00:00,3 days 00:00:00,pullback_struct_long
1.44436581,1363,1381,54874.98999999999,58172.21000000001,,,4697.079231809722,65.3126042384928,0.05926199020719656,2021-05-05 04:00:00+00:00,2021-05-08 04:00:00+00:00,3 days 00:00:00,core_long
0.28360933,1381,1397,58172.21000000001,54577.489670737334,54577.489670737334,65361.650658525345,-1032.2869708320927,12.790746712527616,-0.0625697426508459,2021-05-08 04:00:00+00:00,2021-05-10 20:00:00+00:00,2 days 16:00:00,pullback_struct_long
1e-08,1399,1410,55197.6,49596.75,,,-5.642767740000003e-05,4.191774e-07,-0.102228497978173,2021-05-11 04:00:00+00:00,2021-05-13 00:00:00+00:00,1 days 20:00:00,core_long
1.47011735,1399,1545,55197.6,36610.27,,,-27379.54366019693,53.9873370214178,-0.33740693704074104,2021-05-11 04:00:00+00:00,2021-06-04 12:00:00+00:00,24 days 08:00:00,core_long
-0.67111848,1545,1591,36610.27,35576.0,41460.08640591461,,674.7394943898894,19.378215919707838,0.027462116285949183,2021-06-04 12:00:00+00:00,2021-06-12 04:00:00+00:00,7 days 16:00:00,bear_core
-0.15724354000000001,1591,1601,35576.0,38489.0,38489.0,29352.346334266032,-462.7089291360398,4.6584971160399995,-0.082713795817405,2021-06-12 04:00:00+00:00,2021-06-13 20:00:00+00:00,1 days 16:00:00,crash_short
-0.16862396000000002,1645,1653,34652.45,29233.909488428046,37361.72025578597,29233.909488428046,909.3866501109192,4.309108370768925,0.15563072647898143,2021-06-21 04:00:00+00:00,2021-06-22 12:00:00+00:00,1 days 08:00:00,crash_short
1.75626011,1921,1993,40226.33,45083.38,,,8470.312751008025,59.93041626746724,0.11989475838337724,2021-08-06 04:00:00+00:00,2021-08-18 04:00:00+00:00,12 days 00:00:00,core_long
1e-08,1993,1995,45083.38,44784.18,,,-3.3514702400000013e-06,3.5947024000000005e-07,-0.007433937384464027,2021-08-18 04:00:00+00:00,2021-08-18 12:00:00+00:00,0 days 08:00:00,pullback_struct_long
1.05824283,1993,1998,45083.38,44208.88,44208.88,50323.33496787902,-963.2305124027981,37.79715756779832,-0.02018963316415049,2021-08-18 04:00:00+00:00,2021-08-19 00:00:00+00:00,0 days 20:00:00,pullback_struct_long
