Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
5.1151786900000005,31,55,7818.3,8469.54,,,3314.5459276607785,16.663042414825924,0.08288022101991495,2020-01-10 04:00:00+00:00,2020-01-14 04:00:00+00:00,4 days 00:00:00,core_long
1.5378352800000001,55,79,8469.54,8931.1,8133.986260640456,9141.54747871909,704.4513882194816,5.351863617315841,0.05408556686667724,2020-01-14 04:00:00+00:00,2020-01-18 04:00:00+00:00,4 days 00:00:00,pullback_struct_long
1.41143731,79,86,8931.1,8562.687615028239,8562.687615028239,9667.92476994352,-524.9292625218395,4.938276906613355,-0.041642254872833774,2020-01-18 04:00:00+00:00,2020-01-19 08:00:00+00:00,1 days 04:00:00,pullback_struct_long
1e-08,91,115,8671.56,8330.0,,,-3.4496031199999948e-06,3.400312e-08,-0.03978065215486024,2020-01-20 04:00:00+00:00,2020-01-24 04:00:00+00:00,4 days 00:00:00,core_long
4.77299923,91,121,8671.56,8299.6,,,-1791.5654603132402,16.200666722441362,-0.04328566394051358,2020-01-20 04:00:00+00:00,2020-01-25 04:00:00+00:00,5 days 00:00:00,core_long
4.90058152,121,175,8299.6,9396.68,,,5358.985561413451,17.344412548149123,0.1317582466624897,2020-01-25 04:00:00+00:00,2020-02-03 04:00:00+00:00,9 days 00:00:00,core_long
2.26716834,175,182,9396.68,9160.01,9160.01,10153.66006992622,-544.9849590404401,8.41422801263892,-0.025581517940379037,2020-02-03 04:00:00+00:00,2020-02-04 08:00:00+00:00,1 days 04:00:00,pullback_struct_long
4.60937884,187,199,9241.61,9788.15,,,2501.6668365987393,17.543074614855684,0.05872721830936373,2020-02-05 04:00:00+00:00,2020-02-07 04:00:00+00:00,2 days 00:00:00,core_long
1e-08,199,224,9788.15,9749.61,,,-4.2447551999999127e-07,3.9075520000000004e-08,-0.0043366266352680575,2020-02-07 04:00:00+00:00,2020-02-11 08:00:00+00:00,4 days 04:00:00,pullback_struct_long
1.61500314,199,229,9788.15,10279.36,9450.690939632934,10463.03812073413,786.8238740670042,6.481818332396281,0.04977411441385753,2020-02-07 04:00:00+00:00,2020-02-12 04:00:00+00:00,5 days 00:00:00,pullback_struct_long
1e-08,229,256,10279.36,9871.2,,,-4.121901119999992e-06,4.030112000000001e-08,-0.04009881082090708,2020-02-12 04:00:00+00:00,2020-02-16 16:00:00+00:00,4 days 12:00:00,core_long
4.27197946,229,265,10279.36,9730.55,,,-2361.601432345892,17.096384903289717,-0.053778832728885846,2020-02-12 04:00:00+00:00,2020-02-18 04:00:00+00:00,6 days 00:00:00,core_long
1e-08,265,280,9730.55,9577.4,,,-1.570115900000004e-06,3.86159e-08,-0.016135941956004533,2020-02-18 04:00:00+00:00,2020-02-20 16:00:00+00:00,2 days 12:00:00,core_long
4.4158617,265,289,9730.55,9670.56,,,-282.04206710030076,17.134523717297398,-0.0065638861112681905,2020-02-18 04:00:00+00:00,2020-02-22 04:00:00+00:00,4 days 00:00:00,core_long
0.89203555,289,303,9670.56,9816.21,9310.238299983279,10391.203400033439,126.44839953856548,3.4765783189347,0.014658163126023638,2020-02-22 04:00:00+00:00,2020-02-24 12:00:00+00:00,2 days 08:00:00,pullback_struct_long
4.43159123,289,303,9670.56,9816.21,,,628.1897828428955,17.27147980660542,0.014658163126023638,2020-02-22 04:00:00+00:00,2020-02-24 12:00:00+00:00,2 days 08:00:00,core_long
1e-08,303,310,9816.21,9404.93,,,-4.151242279999993e-06,3.8442280000000004e-08,-0.04228966454466637,2020-02-24 12:00:00+00:00,2020-02-25 16:00:00+00:00,1 days 04:00:00,core_add_long
2.4730768800000003,303,312,9816.21,9326.0,,,-1221.7950487414198,9.468031396620962,-0.05032883791198429,2020-02-24 12:00:00+00:00,2020-02-26 00:00:00+00:00,1 days 12:00:00,core_add_long
-1e-08,312,319,9326.0,8745.49,,,5.768957019999996e-06,3.614298e-08,0.06185885717349343,2020-02-26 00:00:00+00:00,2020-02-27 04:00:00+00:00,1 days 04:00:00,bear_core
-1.60135107,312,361,9326.0,8878.53,10112.101627771064,,710.7261945740295,5.830368718869421,0.0475905097576667,2020-02-26 00:00:00+00:00,2020-03-05 04:00:00+00:00,8 days 04:00:00,bear_core
1e-08,361,379,8878.53,8756.0,,,-1.26056906000001e-06,3.526906e-08,-0.014197947858485688,2020-03-05 04:00:00+00:00,2020-03-08 04:00:00+00:00,3 days 00:00:00,core_long
4.83789288,361,595,8878.53,6671.010000000001,,,-10694.790692228251,15.045401770655044,-0.2489860267409131,2020-03-05 04:00:00+00:00,2020-04-13 04:00:00+00:00,39 days 00:00:00,core_long
-0.59405218,595,614,6671.010000000001,7094.187873671284,7094.187873671284,5824.624252657432,-253.02518754318746,1.6354491609971584,-0.06384803998884996,2020-04-13 04:00:00+00:00,2020-04-16 08:00:00+00:00,3 days 04:00:00,crash_short
-0.6982116,643,657,6853.289999999999,7212.40508999607,7212.40508999607,6135.059820007857,-252.70248786508057,1.9641662947796603,-0.05281087317391649,2020-04-21 04:00:00+00:00,2020-04-23 12:00:00+00:00,2 days 08:00:00,crash_short
4.92374765,691,703,7813.98,8680.91,,,4252.3012150396,16.2433351749017,0.11052383318104232,2020-04-29 04:00:00+00:00,2020-05-01 04:00:00+00:00,2 days 00:00:00,core_long
1e-08,703,723,8680.91,8677.5,,,-6.881682000000023e-08,3.471682e-08,-0.0007927373973466427,2020-05-01 04:00:00+00:00,2020-05-04 12:00:00+00:00,3 days 08:00:00,dip_buy_long
1.15698255,703,727,8680.91,8851.64,7986.1244,9375.0156,193.47465988009907,4.0569708814005,0.019263359486505486,2020-05-01 04:00:00+00:00,2020-05-05 04:00:00+00:00,4 days 00:00:00,dip_buy_long
1e-08,727,757,8851.64,8621.0,,,-2.3413452799999884e-06,3.4945279999999996e-08,-0.026450977220040507,2020-05-05 04:00:00+00:00,2020-05-10 04:00:00+00:00,5 days 00:00:00,core_long
4.5474082000000005,727,775,8851.64,8908.42,,,242.04938910070695,16.1524484952984,0.006013347583046981,2020-05-05 04:00:00+00:00,2020-05-13 04:00:00+00:00,8 days 00:00:00,core_long
1e-08,775,826,8908.42,9081.89,,,1.6987193799999887e-06,3.598062e-08,0.01906869433636922,2020-05-13 04:00:00+00:00,2020-05-21 16:00:00+00:00,8 days 12:00:00,core_long
4.52929035,775,829,8908.42,8991.25,,,358.9465591706601,16.2145605198369,0.008896085501132665,2020-05-13 04:00:00+00:00,2020-05-22 04:00:00+00:00,9 days 00:00:00,core_long
1e-08,829,856,8991.25,8720.59,,,-2.742023679999999e-06,3.5423680000000004e-08,-0.030496579229806756,2020-05-22 04:00:00+00:00,2020-05-26 16:00:00+00:00,4 days 12:00:00,core_long
4.5035307300000005,829,859,8991.25,8825.33,,,-763.2733218282973,16.04750310670068,-0.018849805755595608,2020-05-22 04:00:00+00:00,2020-05-27 04:00:00+00:00,5 days 00:00:00,core_long
1e-08,859,901,8825.33,9485.71,,,6.567177919999992e-06,3.662208e-08,0.07441283124823658,2020-05-27 04:00:00+00:00,2020-06-03 04:00:00+00:00,7 days 00:00:00,core_long
4.5536113,859,907,8825.33,9664.01,,,3802.184071573291,16.838653510708404,0.09461200113763449,2020-05-27 04:00:00+00:00,2020-06-04 04:00:00+00:00,8 days 00:00:00,core_long
0.78227427,907,952,9664.01,9264.15,9264.15,10510.874338683034,-315.7615921114886,2.9614025092886402,-0.04176792366729747,2020-06-04 04:00:00+00:00,2020-06-11 16:00:00+00:00,7 days 12:00:00,pullback_struct_long
1e-08,907,953,9664.01,9281.0,,,-3.867990020000002e-06,3.7890020000000004e-08,-0.04002468975094195,2020-06-04 04:00:00+00:00,2020-06-11 20:00:00+00:00,7 days 16:00:00,core_long
4.31577491,907,955,9664.01,9359.73,,,-1329.6244255720744,16.42043595727268,-0.03187959739280079,2020-06-04 04:00:00+00:00,2020-06-12 04:00:00+00:00,8 days 00:00:00,core_long
1e-08,955,1014,9359.73,9293.39,,,-7.007062400000046e-07,3.730624e-08,-0.007486393731443211,2020-06-12 04:00:00+00:00,2020-06-22 00:00:00+00:00,9 days 20:00:00,core_long
4.38577492,955,1015,9359.73,9380.05,,,72.68125494833575,16.437691426063523,0.001770568595461689,2020-06-12 04:00:00+00:00,2020-06-22 04:00:00+00:00,10 days 00:00:00,core_long
1e-08,1015,1029,9380.05,9337.27,,,-4.6523463999998935e-07,3.743464e-08,-0.004959831130964048,2020-06-22 04:00:00+00:00,2020-06-24 12:00:00+00:00,2 days 08:00:00,core_long
4.37937279,1015,1030,9380.05,9255.48,,,-561.860855052146,16.32238660184574,-0.013677656942127149,2020-06-22 04:00:00+00:00,2020-06-24 16:00:00+00:00,2 days 12:00:00,core_long
-1e-08,1030,1033,9255.48,9099.65,,,1.521589739999995e-06,3.6710260000000006e-08,0.016439879293132252,2020-06-24 16:00:00+00:00,2020-06-25 04:00:00+00:00,0 days 12:00:00,bear_core
-1.54491314,1030,1099,9255.48,9087.31,9851.776031995405,,254.14043929474704,5.6676034590521205,0.01777341013107909,2020-06-24 16:00:00+00:00,2020-07-06 04:00:00+00:00,11 days 12:00:00,bear_core
1e-08,1099,1124,9087.31,9153.85,,,6.289176800000089e-07,3.6482320000000005e-08,0.006920834438354223,2020-07-06 04:00:00+00:00,2020-07-10 08:00:00+00:00,4 days 04:00:00,core_long
4.5069082300000005,1099,1195,9087.31,9358.72,,,1206.5930498207324,16.62691288356538,0.02946095093047337,2020-07-06 04:00:00+00:00,2020-07-22 04:00:00+00:00,16 days 00:00:00,core_long
4.42776502,1195,1219,9358.72,9681.27,,,1411.3146868603721,16.86092034062996,0.03405829023627177,2020-07-22 04:00:00+00:00,2020-07-26 04:00:00+00:00,4 days 00:00:00,core_long
2.68621049,1219,1220,9681.27,10072.169263335501,9485.80536833225,10072.169263335501,1039.4253225525442,10.61237915254994,0.03996878255464766,2020-07-26 04:00:00+00:00,2020-07-26 08:00:00+00:00,0 days 04:00:00,pullback_struct_long
3.85678178,1243,1262,10998.37,11327.7,,,1252.9325876083956,17.22135599900092,0.02953753928991293,2020-07-30 04:00:00+00:00,2020-08-02 08:00:00+00:00,3 days 04:00:00,core_long
1e-08,1262,1272,11327.7,11227.07,,,-1.0514095400000043e-06,4.5109540000000004e-08,-0.00928175657900547,2020-08-02 08:00:00+00:00,2020-08-04 00:00:00+00:00,1 days 16:00:00,dip_buy_long
0.94722197,1262,1279,11327.7,11248.83,10421.484,12233.916000000001,-78.98439381837296,4.27699704447282,-0.0073611859424243635,2020-08-02 08:00:00+00:00,2020-08-05 04:00:00+00:00,2 days 20:00:00,dip_buy_long
