Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
268.27821389,55,67,148.95,160.11,,,2911.0708022275658,82.9140647848434,0.07284954682779488,2020-01-14 04:00:00+00:00,2020-01-16 04:00:00+00:00,2 days 00:00:00,core_long
64.21101901,67,74,160.11,172.962,147.338,172.962,803.8531237928202,21.386892523698723,0.07818954468802682,2020-01-16 04:00:00+00:00,2020-01-17 08:00:00+00:00,1 days 04:00:00,dip_buy_long
1e-08,79,93,172.06,163.3,,,-9.095360000000001e-08,3.3536e-09,-0.05286155992095782,2020-01-18 04:00:00+00:00,2020-01-20 12:00:00+00:00,2 days 08:00:00,core_long
240.87251565,79,97,172.06,168.42,,,-958.7882310945166,82.01227412851202,-0.023134255492270238,2020-01-18 04:00:00+00:00,2020-01-21 04:00:00+00:00,3 days 00:00:00,core_long
1e-08,97,116,168.42,159.41,,,-9.33783e-08,3.2783e-09,-0.05544371214820097,2020-01-21 04:00:00+00:00,2020-01-24 08:00:00+00:00,3 days 04:00:00,core_long
243.80354401,97,121,168.42,159.15,,,-2339.92157988405,79.86272691135571,-0.0569859280370501,2020-01-21 04:00:00+00:00,2020-01-25 04:00:00+00:00,4 days 00:00:00,core_long
252.12918182,121,157,159.15,183.78,,,6123.479087905064,86.46266032153261,0.1526049010367576,2020-01-25 04:00:00+00:00,2020-01-31 04:00:00+00:00,6 days 00:00:00,core_long
54.46360707,157,175,183.78,191.55,173.9994876970866,203.31102460582684,402.7404012923176,20.4418256415831,0.04023653281096969,2020-01-31 04:00:00+00:00,2020-02-03 04:00:00+00:00,3 days 00:00:00,pullback_struct_long
45.69809875,175,195,191.55,214.93978566754697,179.8701071662265,214.93978566754697,1050.2929248105938,18.575810366301898,0.1199858829646537,2020-02-03 04:00:00+00:00,2020-02-06 12:00:00+00:00,3 days 08:00:00,pullback_struct_long
1e-08,199,279,217.39000000000001,253.74,,,3.587887e-07,4.7113e-09,0.16504379226275365,2020-02-07 04:00:00+00:00,2020-02-20 12:00:00+00:00,13 days 08:00:00,core_long
198.50929975,199,283,217.39000000000001,262.29,,,8817.846617870924,95.22094090408001,0.20433469800818807,2020-02-07 04:00:00+00:00,2020-02-21 04:00:00+00:00,14 days 00:00:00,core_long
1e-08,283,312,262.29,247.02999999999997,,,-1.5769320000000044e-07,5.0932000000000006e-09,-0.060121697357886514,2020-02-21 04:00:00+00:00,2020-02-26 00:00:00+00:00,4 days 20:00:00,core_long
177.96161387,283,313,262.29,239.45000000000002,,,-4153.933720933938,89.29046014313381,-0.08899210797209209,2020-02-21 04:00:00+00:00,2020-02-26 04:00:00+00:00,5 days 00:00:00,core_long
188.00433548,313,337,239.45000000000002,223.87000000000003,,,-3016.2137154929906,87.10616871459362,-0.0670007099603257,2020-02-26 04:00:00+00:00,2020-03-01 04:00:00+00:00,4 days 00:00:00,core_long
1e-08,337,358,223.87000000000003,221.92,,,-2.3957900000000407e-08,4.4579000000000005e-09,-0.010701701880555897,2020-03-01 04:00:00+00:00,2020-03-04 16:00:00+00:00,3 days 12:00:00,pullback_struct_long
39.48658521,337,361,223.87000000000003,226.7,210.01,263.9944501616782,93.9555654462295,17.791470698069702,0.010628623754857625,2020-03-01 04:00:00+00:00,2020-03-05 04:00:00+00:00,4 days 00:00:00,pullback_struct_long
1e-08,361,382,226.7,216.98,,,-1.0163680000000011e-07,4.4368e-09,-0.044833171592412874,2020-03-05 04:00:00+00:00,2020-03-08 16:00:00+00:00,3 days 12:00:00,core_long
193.42700752000002,361,397,226.7,201.94,,,-4872.1632586985725,82.9105525033728,-0.11111001323334807,2020-03-05 04:00:00+00:00,2020-03-11 04:00:00+00:00,6 days 00:00:00,core_long
26.38596297,397,400,201.94,190.02,190.02,239.63336248148462,-324.8629206481208,10.342242045721202,-0.0609684064573635,2020-03-11 04:00:00+00:00,2020-03-11 16:00:00+00:00,0 days 12:00:00,pullback_struct_long
1e-08,397,404,201.94,171.86,,,-3.0453799999999994e-07,3.738e-09,-0.1508061800534812,2020-03-11 04:00:00+00:00,2020-03-12 08:00:00+00:00,1 days 04:00:00,core_long
207.50215024,397,625,201.94,172.83,,,-6118.153174331842,77.76558084544482,-0.14600757650787355,2020-03-11 04:00:00+00:00,2020-04-18 04:00:00+00:00,38 days 00:00:00,core_long
1e-08,625,645,172.83,169.14,,,-4.031970000000044e-08,3.4197e-09,-0.023329109529595816,2020-04-18 04:00:00+00:00,2020-04-21 12:00:00+00:00,3 days 08:00:00,core_long
227.55512593,625,649,172.83,171.53,,,-374.18254687425775,78.3608831652548,-0.0095143204304809,2020-04-18 04:00:00+00:00,2020-04-22 04:00:00+00:00,4 days 00:00:00,core_long
60.07621564,649,667,171.53,195.58342881383982,166.6,195.58342881383982,1422.9841907878701,22.05478551376003,0.13808847073413374,2020-04-22 04:00:00+00:00,2020-04-25 04:00:00+00:00,3 days 00:00:00,pullback_struct_long
228.40802728,649,697,171.53,225.74,,,12291.259501851275,90.7396569975256,0.3137219728327407,2020-04-22 04:00:00+00:00,2020-04-30 04:00:00+00:00,8 days 00:00:00,core_long
37.85585409,697,698,225.74,211.00293326863996,211.00293326863996,255.24413346272004,-574.4175246536154,16.533276756656242,-0.06721808126441345,2020-04-30 04:00:00+00:00,2020-04-30 08:00:00+00:00,0 days 04:00:00,pullback_struct_long
