case_id,asset,strategy,window,roundtrip_cost_bps,environment_proxy,bars,compounded_return_pct,mean_bps_per_bar,positive_bar_pct,sharpe
btc_dual_full_rt8bps,BTC,dual,full,8,bull_180d_gt_20pct,6635,160.13411782811545,1.5391361208636782,41.4016578749058,1.6250992396184252
btc_dual_full_rt8bps,BTC,dual,full,8,bear_180d_lt_minus20pct,2606,15.603163607593217,0.5659073053680476,17.114351496546433,1.918875085706173
btc_dual_full_rt8bps,BTC,dual,full,8,sideways_180d_between_plusminus20pct,3892,33.15179812819578,0.7591601351110808,26.82425488180884,1.6382936686325464
btc_dual_full_rt8bps,BTC,dual,full,8,trend_adx_ge_25,10785,191.39869844173813,1.060154729406825,32.87899860917942,1.3433524353908728
btc_dual_full_rt8bps,BTC,dual,full,8,choppy_adx_lt_20,1511,3.9283351923658616,0.3062676801464327,31.30377233620119,0.44704013141074866
btc_dual_full_rt8bps,BTC,dual,full,8,high_volatility_rank_ge_90pct,1771,5.205953687307208,0.42982874278785127,25.40937323546019,0.3773315917556338
btc_dual_full_rt8bps,BTC,dual,full,8,low_volatility_rank_le_30pct,5195,85.68160019046258,1.237156705730591,36.51588065447546,1.9098806686372072
eth_dual_full_rt8bps,ETH,dual,full,8,bull_180d_gt_20pct,6308,181.2190984673708,1.8534483853200654,45.68801521876982,1.3250469712836381
eth_dual_full_rt8bps,ETH,dual,full,8,bear_180d_lt_minus20pct,3493,14.04963515832014,0.39439336490609594,23.418265101631835,0.9718955310162748
eth_dual_full_rt8bps,ETH,dual,full,8,sideways_180d_between_plusminus20pct,3332,35.75998016151702,0.9733914969164384,30.912364945978393,1.3627607022229913
eth_dual_full_rt8bps,ETH,dual,full,8,trend_adx_ge_25,10799,352.9920721571975,1.5423908036257348,36.61450134271692,1.3487861003806834
eth_dual_full_rt8bps,ETH,dual,full,8,choppy_adx_lt_20,1486,-5.174984239776492,-0.26281033034914336,36.608344549125164,-0.28267399056716275
eth_dual_full_rt8bps,ETH,dual,full,8,high_volatility_rank_ge_90pct,1965,76.3566811270707,3.089940377275037,31.755725190839694,2.279264377910897
eth_dual_full_rt8bps,ETH,dual,full,8,low_volatility_rank_le_30pct,5137,97.75309405009331,1.4270489234507013,39.90656024917267,1.4951628934863381
sol_dual_full_rt8bps,SOL,dual,full,8,bull_180d_gt_20pct,5344,271.7968671802198,2.8889455907918817,41.71032934131736,1.4528639270500747
sol_dual_full_rt8bps,SOL,dual,full,8,bear_180d_lt_minus20pct,4175,-11.42059416703145,-0.2771218880457577,11.592814371257484,-0.7947557503873549
sol_dual_full_rt8bps,SOL,dual,full,8,sideways_180d_between_plusminus20pct,2060,27.39974615193821,1.240401630710686,25.19417475728155,1.6085717729576938
sol_dual_full_rt8bps,SOL,dual,full,8,trend_adx_ge_25,9555,537.4475544083199,2.19390620958156,27.796964939822082,1.431863967518231
sol_dual_full_rt8bps,SOL,dual,full,8,choppy_adx_lt_20,1251,22.050808863075243,1.79541824667311,27.89768185451639,1.3165037625246478
sol_dual_full_rt8bps,SOL,dual,full,8,high_volatility_rank_ge_90pct,1765,175.53987721624628,6.148309356515131,23.79603399433428,3.175807349179858
sol_dual_full_rt8bps,SOL,dual,full,8,low_volatility_rank_le_30pct,4468,-0.5184393967745393,0.16129312847567792,28.939122649955234,0.12822420849618754
btc_dual_common_rt8bps,BTC,dual,common,8,bull_180d_gt_20pct,5326,38.55305183780142,0.6727537572139725,39.4104393541119,0.905820449599657
btc_dual_common_rt8bps,BTC,dual,common,8,bear_180d_lt_minus20pct,2606,15.668296217655087,0.5682275541605689,17.114351496546433,1.9108794717927489
btc_dual_common_rt8bps,BTC,dual,common,8,sideways_180d_between_plusminus20pct,3647,19.183033047817677,0.5043924990367854,25.500411296956404,1.095214299485272
btc_dual_common_rt8bps,BTC,dual,common,8,trend_adx_ge_25,9518,202.96335432667837,1.2252084744356808,31.204034461021223,1.6478702608605251
