case_id,asset,strategy,window,roundtrip_cost_bps,direction,trades,pnl,win_rate_pct,profit_factor,avg_win_loss_ratio,max_consecutive_losses,avg_trade_pct
btc_dual_full_rt8bps,BTC,dual,full,8,long,296,288129.8641885432,47.2972972972973,1.9672194440546298,2.192044523375159,7,1.2473837813484003
btc_dual_full_rt8bps,BTC,dual,full,8,short,53,20635.86560654941,52.83018867924528,1.6914460272320755,1.510219667171496,5,1.6041549990315236
eth_dual_full_rt8bps,ETH,dual,full,8,long,257,383348.80644562293,47.85992217898833,1.5667214272063816,1.7068347255744323,6,1.8400384641863625
eth_dual_full_rt8bps,ETH,dual,full,8,short,57,18683.48404458962,45.614035087719294,1.3458789044761315,1.6047017707215414,5,0.019493357906658813
sol_dual_full_rt8bps,SOL,dual,full,8,long,193,613497.5686849433,44.559585492227974,1.492698648783779,1.857194830463539,8,3.8953916836265488
sol_dual_full_rt8bps,SOL,dual,full,8,short,46,65620.39135248834,52.17391304347826,1.788797737646168,1.6397312595089872,5,2.00012508018646
btc_dual_common_rt8bps,BTC,dual,common,8,long,254,260468.24979883747,46.8503937007874,2.0252636299164526,2.2975679835186646,7,1.4128049438562373
btc_dual_common_rt8bps,BTC,dual,common,8,short,49,18022.419824928274,53.06122448979592,1.6544661252152888,1.4635661876904478,5,1.7686347352866933
eth_dual_common_rt8bps,ETH,dual,common,8,long,209,195307.52748390828,48.803827751196174,1.5095566424799007,1.5835545171112684,6,1.5877651896634941
eth_dual_common_rt8bps,ETH,dual,common,8,short,56,11573.683315068236,46.42857142857143,1.3521394206527333,1.560160869983923,5,0.047559173245223886
sol_dual_common_rt8bps,SOL,dual,common,8,long,193,613497.5686849433,44.559585492227974,1.492698648783779,1.857194830463539,8,3.8953916836265488
sol_dual_common_rt8bps,SOL,dual,common,8,short,46,65620.39135248834,52.17391304347826,1.788797737646168,1.6397312595089872,5,2.00012508018646
btc_dual_full_rt4bps,BTC,dual,full,4,long,296,309850.1432049817,47.63513513513514,2.032608487281957,2.234427769707116,7,1.3023786412737952
btc_dual_full_rt4bps,BTC,dual,full,4,short,53,21928.089647138684,52.83018867924528,1.7177194306053956,1.5336780630405318,5,1.6438183027102462
eth_dual_full_rt4bps,ETH,dual,full,4,long,257,398738.01109605783,47.85992217898833,1.5828816111495043,1.724440129219785,6,1.8804226255437428
eth_dual_full_rt4bps,ETH,dual,full,4,short,57,20339.829953771943,45.614035087719294,1.371688486580948,1.6354747340003613,5,0.05947346719136369
sol_dual_full_rt4bps,SOL,dual,full,4,long,193,630666.8709176042,44.559585492227974,1.5034819469880136,1.8706112596246214,8,3.9361870801218726
sol_dual_full_rt4bps,SOL,dual,full,4,short,46,67705.81457327714,52.17391304347826,1.8046601434051888,1.654271798121423,5,2.0397092215138914
btc_dual_full_rt12bps,BTC,dual,full,12,long,296,274182.05545364576,46.28378378378378,1.9225789218725873,2.231314223195193,7,1.207118198358935
btc_dual_full_rt12bps,BTC,dual,full,12,short,53,19531.019983062793,52.83018867924528,1.6635993980791808,1.48535660542784,5,1.5644916953528014
eth_dual_full_rt12bps,ETH,dual,full,12,long,257,368454.6188554701,47.85992217898833,1.5508587020833886,1.6895533827575129,6,1.7996543028289826
eth_dual_full_rt12bps,ETH,dual,full,12,short,57,17095.840490533723,45.614035087719294,1.3206405274855864,1.574609859694353,5,-0.020486751378046317
sol_dual_full_rt12bps,SOL,dual,full,12,long,193,596739.9517195541,44.559585492227974,1.482115414346556,1.8440273178497846,8,3.8545962871312254
sol_dual_full_rt12bps,SOL,dual,full,12,short,46,63592.26852585757,50.0,1.7731410879589582,1.773141087958958,5,1.9605409388590278
btc_dual_full_rt20bps,BTC,dual,full,20,long,296,247808.12300572335,45.608108108108105,1.8381414724534946,2.1921539041852784,7,1.1265870323800042
btc_dual_full_rt20bps,BTC,dual,full,20,short,53,17452.375905639336,52.83018867924528,1.6095362422578847,1.437085930587397,5,1.4851650879953566
eth_dual_full_rt20bps,ETH,dual,full,20,long,257,340087.0950889479,47.081712062256805,1.5199913230505606,1.7084199994617872,6,1.718885980114222
eth_dual_full_rt20bps,ETH,dual,full,20,short,57,14116.392821303392,45.614035087719294,1.271801507226924,1.5163787201551788,5,-0.10044696994745546
sol_dual_full_rt20bps,SOL,dual,full,20,long,193,564420.2412210971,44.559585492227974,1.4615296521741266,1.8184147997980409,8,3.773005494140579
sol_dual_full_rt20bps,SOL,dual,full,20,short,46,59701.60264869806,50.0,1.7419478753893605,1.7419478753893607,5,1.8813726562041655
