case_id,asset,strategy,window,roundtrip_cost_bps,gross_profit,net_profit,winning_trades,top_1_pnl,top_1_share_gross_profit_pct,top_1_share_net_profit_pct,top_5_pnl,top_5_share_gross_profit_pct,top_5_share_net_profit_pct,top_10_pnl,top_10_share_gross_profit_pct,top_10_share_net_profit_pct,winners_to_50pct_gross_profit,winners_to_80pct_gross_profit
btc_dual_full_rt8bps,BTC,dual,full,8,636505.2653630603,308765.72979509266,168,43240.41060085008,6.793409725555987,14.004277815917549,132884.34679243184,20.87717950245629,43.037271940969084,194667.6168707384,30.583818777948473,63.04702824368701,23,62
eth_dual_full_rt8bps,ETH,dual,full,8,1132482.2305129864,402032.2904902126,149,76784.81354528,6.780222371391946,19.09916575398794,253115.68524726375,22.350521573535737,62.95904364762108,380574.30422909907,33.60532235960191,94.6626211951908,20,54
sol_dual_full_rt8bps,SOL,dual,full,8,2007486.4526230574,679117.9600374314,110,243239.31464926313,12.116610517168745,35.816946239480444,626450.1199938806,31.205696017292535,92.24466983016501,892112.288453825,44.43926818475699,131.36337734384963,13,34
btc_dual_common_rt8bps,BTC,dual,common,8,560078.2836354874,278490.66962376575,145,40037.82797755867,7.148612818492399,14.37672150081323,128098.06877086638,22.871457886097172,45.99725690771752,185312.06035325682,33.086814070059965,66.5415687367943,21,55
eth_dual_common_rt8bps,ETH,dual,common,8,623037.1154353265,206881.21079897654,128,46936.85445711837,7.533556716652876,22.687828573628284,155329.1889249716,24.9309688101712,75.08134176375384,230104.8452423716,36.93276685155322,111.22558900042456,18,48
sol_dual_common_rt8bps,SOL,dual,common,8,2007486.4526230574,679117.9600374314,110,243239.31464926313,12.116610517168745,35.816946239480444,626450.1199938806,31.205696017292535,92.24466983016501,892112.288453825,44.43926818475699,131.36337734384963,13,34
btc_dual_full_rt4bps,BTC,dual,full,4,662396.1489067174,331778.23285212036,169,45277.10271113251,6.8353511393238335,13.646797236186783,135600.9366834522,20.471274917171705,40.870956336635864,199440.07047116573,30.108881339413113,60.112463905991035,24,63
eth_dual_full_rt4bps,ETH,dual,full,4,1157881.2433621013,419077.8410498296,149,79164.06220001097,6.8369759553358795,18.890061569873872,257960.48308483063,22.278664980857567,61.5543123059466,387657.8187357199,33.47992904782625,92.50258084860808,20,54
sol_dual_full_rt4bps,SOL,dual,full,4,2035125.5045154043,698372.6854908816,110,244535.0122391883,12.01572147253965,35.014973712396305,631951.7714999423,31.052226022316987,90.48918788336454,900751.4810365455,44.260242380040765,128.97862412866465,13,34
btc_dual_full_rt12bps,BTC,dual,full,12,620335.9138752505,293713.07543670846,165,42013.678164738056,6.7727302619443375,14.304326799979828,130982.87038482392,21.11482947465856,44.59551900781793,191187.5625989647,30.820005471650397,65.09330996405139,23,62
eth_dual_full_rt12bps,ETH,dual,full,12,1107741.4302546168,385550.45934600383,149,74477.49898825197,6.723364943670397,19.317185904689527,248385.13664832947,22.422663797203793,64.42350945960659,373921.67689687834,33.75532111414589,96.98384941134528,20,54
sol_dual_full_rt12bps,SOL,dual,full,12,1980337.362956133,660332.2202454116,109,241950.68995558433,12.217650107576334,36.64075181212022,621026.966545207,31.359655085140336,94.047654726647,883601.7095180452,44.61874658563507,133.81169090759434,13,34
btc_dual_full_rt20bps,BTC,dual,full,20,589556.5552854412,265260.4989113626,163,39664.21925030722,6.727805652352266,14.952930953945431,127299.22645017323,21.59236892693691,47.990268800900715,184480.63947834048,31.29142366825552,69.54696995423548,23,61
eth_dual_full_rt20bps,ETH,dual,full,20,1060164.449412173,354203.48791025137,147,70069.98678196761,6.609350730522907,19.782410160715884,239254.5862178347,22.567686206653477,67.54721350413618,361580.95308738685,34.106119412688464,102.0828324477157,20,53
sol_dual_full_rt20bps,SOL,dual,full,20,1927521.742171021,624121.8438697951,109,239394.50011721073,12.419808030158668,38.35701353326666,611010.9480862183,31.699302514638294,97.8993050936522,866956.6408844467,44.97778789815203,138.90823553121976,13,33
