case_id,asset,strategy,window,roundtrip_cost_bps,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,trades,pnl,win_rate_pct,profit_factor,avg_win_loss_ratio,max_consecutive_losses,avg_trade_pct,material_trades,material_pnl,material_win_rate_pct,material_profit_factor,material_avg_win_loss_ratio,material_max_consecutive_losses,material_avg_trade_pct,raw_trade_count,material_trade_count,ghost_count,ghost_pct,material_size_threshold,adjacent_interval_overlap_count,any_interval_overlap_count
btc_dual_full_rt8bps,BTC,dual,full,8,2020-01-05 00:00:00+00:00,2026-06-30 20:00:00+00:00,2368 days 20:00:00,64.89376670887857,408765.72929336404,415289.9401839422,308.7657292933641,684.0029965953861,24.22585129691599,21.681270701799306,1.1173630747991865,2.106333637153362,1.1191593526182857,177.70959306087718,0.19160169894695886,-21.64647173813036,-1.38484049445971,629 days 16:00:00,12 days 05:00:00,473,43.76321353065539,47.75637248042209,-33.740693704074104,0.6161935831179743,39 days 00:00:00,4 days 11:00:00,1.5057682428895345,0.8353048827696848,3.263349021367396,473,308765.7292933641,43.76321353065539,1.9421070532804612,2.495654474263781,12,0.835304882769685,349,308765.7297950926,48.13753581661891,1.9421070584603295,2.09238915226976,7,1.301563937615465,473,349,124,26.215644820295985,1e-07,140,140
eth_dual_full_rt8bps,ETH,dual,full,8,2020-01-05 00:00:00+00:00,2026-06-30 20:00:00+00:00,2368 days 20:00:00,72.32306177008583,502032.2904395135,608403.099559471,402.0322904395135,1054.643644379133,28.22247105509641,33.12977192922751,0.8518764063750823,1.6384769354619375,0.9230697379825996,160.45045967709837,0.22906489035415742,-30.574581631045106,-2.4883751672574532,770 days 16:00:00,15 days 23:00:00,453,43.92935982339956,61.67387913069366,-44.142990043632544,0.39130975687058367,38 days 00:00:00,5 days 07:00:00,1.296441153870194,0.770817080680649,2.0571778430041303,453,402032.29043951246,43.92935982339956,1.5503899286706988,1.978889657700289,11,0.7708170806806492,314,402032.29049021256,47.452229299363054,1.5503899288124767,1.716874753382944,7,1.5095573461674359,453,314,139,30.684326710816777,1e-07,158,158
sol_dual_full_rt8bps,SOL,dual,full,8,2020-09-20 00:00:00+00:00,2026-06-30 20:00:00+00:00,2109 days 20:00:00,55.52922590837282,779117.9600339766,816187.8194410129,679.1179600339766,2429.0238373291195,42.63781566513312,45.83870975170828,0.9301705020949925,2.3357369434664594,1.5937692104586263,227.93440431689464,0.1857468620864543,-26.752816772551135,-5.1280910003517,847 days 08:00:00,27 days 22:00:00,340,41.47058823529412,137.89269896927624,-39.31698211209753,1.2009335925480036,53 days 00:00:00,4 days 22:00:00,1.649061250658923,2.4412414513034997,1.6117458199838492,340,679117.9600339768,41.47058823529412,1.5112421469054458,2.132887852724707,12,2.4412414513034992,239,679117.9600374316,46.02510460251046,1.511242146910268,1.772274881376587,8,3.5306123373577454,340,239,101,29.705882352941178,1e-07,107,107
btc_dual_common_rt8bps,BTC,dual,common,8,2020-09-20 00:00:00+00:00,2026-06-30 20:00:00+00:00,2109 days 20:00:00,61.80094786729858,378490.66911430744,384531.6670864754,278.4906691143074,435.6719138177823,25.891186553245515,19.709639531621708,1.3136306481763034,2.769770138797941,1.3755020234613444,203.7763281497765,0.17149221373902895,-18.823081399831278,-1.3160301402818553,646 days 12:00:00,11 days 19:00:00,405,43.95061728395061,53.85738018320113,-33.740693704074104,0.7478287406160966,34 days 08:00:00,4 days 09:00:00,1.600815209488477,0.9896564671705698,3.1935034932260544,405,278490.6691143074,43.95061728395061,1.9890018382465593,2.536536052145893,12,0.98965646717057,303,278490.66962376575,47.85478547854785,1.989001844421229,2.1673261477141668,7,1.4703483754737035,405,303,102,25.185185185185183,1e-07,115,115
eth_dual_common_rt8bps,ETH,dual,common,8,2020-09-20 00:00:00+00:00,2026-06-30 20:00:00+00:00,2109 days 20:00:00,68.17535545023696,306881.21074792073,371903.3284673887,206.8812107479207,312.32945004198154,21.405661035098646,28.0974419950482,0.7618366482924356,1.4195256265208147,0.7731189240618408,142.7356738727105,0.20537780496391914,-27.687410524938116,-2.487921483652737,770 days 16:00:00,17 days 20:00:00,373,45.30831099195711,47.96277827648114,-44.142990043632544,0.28525551731657384,35 days 20:00:00,5 days 06:00:00,1.2492917942333115,0.6303887139392146,1.7747915259111857,373,206881.21074792134,45.30831099195711,1.497124294997671,1.8071796223640528,11,0.6303887139392146,265,206881.21079897648,48.301886792452834,1.4971242952319896,1.6023908472404889,7,1.2622876918543504,373,265,108,28.9544235924933,1e-07,123,123
sol_dual_common_rt8bps,SOL,dual,common,8,2020-09-20 00:00:00+00:00,2026-06-30 20:00:00+00:00,2109 days 20:00:00,55.52922590837282,779117.9600339766,816187.8194410129,679.1179600339766,2429.0238373291195,42.63781566513312,45.83870975170828,0.9301705020949925,2.3357369434664594,1.5937692104586263,227.93440431689464,0.1857468620864543,-26.752816772551135,-5.1280910003517,847 days 08:00:00,27 days 22:00:00,340,41.47058823529412,137.89269896927624,-39.31698211209753,1.2009335925480036,53 days 00:00:00,4 days 22:00:00,1.649061250658923,2.4412414513034997,1.6117458199838492,340,679117.9600339768,41.47058823529412,1.5112421469054458,2.132887852724707,12,2.4412414513034992,239,679117.9600374316,46.02510460251046,1.511242146910268,1.772274881376587,8,3.5306123373577454,340,239,101,29.705882352941178,1e-07,107,107
btc_dual_full_rt4bps,BTC,dual,full,4,2020-01-05 00:00:00+00:00,2026-06-30 20:00:00+00:00,2368 days 20:00:00,64.97819051639229,431778.2323750711,438331.20384955104,331.77823237507107,684.0029965953861,25.278577560618622,21.882453782976167,1.1551984896814693,2.199647017343261,1.1704202000017518,200.62481369211858,0.19174392412864638,-21.597865074937005,-1.3461296115744532,627 days 20:00:00,11 days 18:00:00,473,43.97463002114165,47.80594358335935,-33.70742853674798,0.6653319303112193,39 days 00:00:00,4 days 11:00:00,1.5429267270270421,0.8846166774425558,3.4167932745648524,473,331778.2323750716,43.97463002114165,2.003509534745863,2.5525482053252584,12,0.8846166774425559,349,331778.2328521204,48.42406876790831,2.003509539989151,2.1339154863789775,7,1.354230509629474,473,349,124,26.215644820295985,1e-07,140,140
eth_dual_full_rt4bps,ETH,dual,full,4,2020-01-05 00:00:00+00:00,2026-06-30 20:00:00+00:00,2368 days 20:00:00,72.32306177008583,519077.8410003355,626766.6068891407,419.0778410003356,1054.643644379133,28.88380118704259,33.31554029012804,0.8669768202919209,1.6775844919446932,0.9460890431682027,177.47382998879442,0.22908592139079645,-30.529685758032198,-2.5123637571392505,770 days 16:00:00,15 days 15:00:00,453,44.150110375275936,61.726234848807046,-44.11180616809106,0.4314859154619599,38 days 00:00:00,5 days 07:00:00,1.3145475355923513,0.8109715634112373,2.103931732948447,453,419077.84100033576,44.150110375275936,1.567238645131695,1.9825568860915945,11,0.8109715634112373,314,419077.8410498298,47.452229299363054,1.5672386452718279,1.735532727985581,7,1.5498681604925146,453,314,139,30.684326710816777,1e-07,158,158
sol_dual_full_rt4bps,SOL,dual,full,4,2020-09-20 00:00:00+00:00,2026-06-30 20:00:00+00:00,2109 days 20:00:00,55.52922590837282,798372.6854874734,833602.0913502708,698.3726854874734,2429.0238373291195,43.24146475623836,46.047411109357625,0.9390639715562847,2.3700702197932677,1.6323172530608632,247.12027503532852,0.18577520875559964,-26.490845866606815,-5.144710823583856,734 days 20:00:00,27 days 05:00:00,340,41.47058823529412,137.9603045513029,-39.2848326487346,1.2413352612933526,53 days 00:00:00,4 days 22:00:00,1.6638251166109563,2.481593600505627,1.642837323908553,340,698372.6854874735,41.47058823529412,1.5224396579123014,2.1486914320889925,12,2.4815936005056276,239,698372.6854908812,46.02510460251046,1.522439657917093,1.7854065079209542,8,3.5711746052433484,340,239,101,29.705882352941178,1e-07,107,107
btc_dual_full_rt12bps,BTC,dual,full,12,2020-01-05 00:00:00+00:00,2026-06-30 20:00:00+00:00,2368 days 20:00:00,64.89376670887857,393713.07491030014,400473.7852909525,293.7130749103002,684.0029965953861,23.509797646171293,21.544143604188605,1.0912384394615957,2.042435810128805,1.0836486945080424,162.67176081051284,0.19158002925724504,-21.695036191451635,-1.416601548946429,647 days 20:00:00,12 days 22:00:00,473,42.917547568710354,47.70680137748483,-33.77395887140022,0.5760789461217941,39 days 00:00:00,4 days 11:00:00,1.4750526803242245,0.7952105637269092,3.1600148524707605,473,293713.0749103003,42.917547568710354,1.899242303928382,2.5260858229589314,12,0.7952105637269093,349,293713.0754367085,47.277936962750715,1.8992423090829709,2.117942938613737,8,1.2613898182462555,473,349,124,26.215644820295985,1e-07,140,140
