case_id,asset,strategy,window,roundtrip_cost_bps,year,return_pct,ending_equity,bars,partial_year
btc_dual_full_rt8bps,BTC,dual,full,8,2020,57.53139350529332,157531.39350529332,2172,False
btc_dual_full_rt8bps,BTC,dual,full,8,2021,34.04478809133962,211162.6226015048,2190,False
btc_dual_full_rt8bps,BTC,dual,full,8,2022,6.426120088168741,224732.18631120402,2190,False
btc_dual_full_rt8bps,BTC,dual,full,8,2023,13.894217750085925,255956.9656318115,2190,False
btc_dual_full_rt8bps,BTC,dual,full,8,2024,41.923563331202395,363263.246219088,2196,False
btc_dual_full_rt8bps,BTC,dual,full,8,2025,13.74823996337775,413205.54900804395,2190,False
btc_dual_full_rt8bps,BTC,dual,full,8,2026,-1.074482113160946,408765.72929336404,1086,True
eth_dual_full_rt8bps,ETH,dual,full,8,2020,107.76340228460998,207763.40228460997,2172,False
eth_dual_full_rt8bps,ETH,dual,full,8,2021,91.22919411004698,397304.2798444746,2190,False
eth_dual_full_rt8bps,ETH,dual,full,8,2022,-6.579424997228744,371163.94274132757,2190,False
eth_dual_full_rt8bps,ETH,dual,full,8,2023,12.049612801372135,415887.7606999641,2190,False
eth_dual_full_rt8bps,ETH,dual,full,8,2024,14.015707819745948,474177.3740977553,2196,False
eth_dual_full_rt8bps,ETH,dual,full,8,2025,4.878378800272931,497309.54259143106,2190,False
eth_dual_full_rt8bps,ETH,dual,full,8,2026,0.949659607067388,502032.2904395135,1086,True
sol_dual_full_rt8bps,SOL,dual,full,8,2020,-8.007897172989619,91992.10282701039,618,True
sol_dual_full_rt8bps,SOL,dual,full,8,2021,601.9794072052368,645765.6181006795,2190,False
sol_dual_full_rt8bps,SOL,dual,full,8,2022,-9.773732573746974,582650.2135343149,2190,False
sol_dual_full_rt8bps,SOL,dual,full,8,2023,25.809745221118007,733030.7491778216,2190,False
sol_dual_full_rt8bps,SOL,dual,full,8,2024,-9.166553250109688,665837.0952147585,2196,False
sol_dual_full_rt8bps,SOL,dual,full,8,2025,11.349096399968639,741403.5890174324,2190,False
sol_dual_full_rt8bps,SOL,dual,full,8,2026,5.086888109959964,779117.9600339766,1086,True
btc_dual_common_rt8bps,BTC,dual,common,8,2020,45.961106825183904,145961.1068251839,618,True
btc_dual_common_rt8bps,BTC,dual,common,8,2021,33.76900296637879,195250.71731873957,2190,False
btc_dual_common_rt8bps,BTC,dual,common,8,2022,6.48608219911706,207914.83933839868,2190,False
btc_dual_common_rt8bps,BTC,dual,common,8,2023,13.98879580954102,236999.62167118257,2190,False
btc_dual_common_rt8bps,BTC,dual,common,8,2024,41.92356332325213,336358.30813836877,2196,False
btc_dual_common_rt8bps,BTC,dual,common,8,2025,13.748239957940767,382601.65545970155,2190,False
btc_dual_common_rt8bps,BTC,dual,common,8,2026,-1.0744821112848246,378490.66911430744,1086,True
eth_dual_common_rt8bps,ETH,dual,common,8,2020,30.385611988965564,130385.61198896557,618,True
eth_dual_common_rt8bps,ETH,dual,common,8,2021,86.26541352945758,242863.29935416073,2190,False
eth_dual_common_rt8bps,ETH,dual,common,8,2022,-6.579424994804183,226884.29073324698,2190,False
eth_dual_common_rt8bps,ETH,dual,common,8,2023,12.049612799804144,254222.96927018516,2190,False
eth_dual_common_rt8bps,ETH,dual,common,8,2024,14.015707814874334,289854.11784139206,2196,False
